Time(s),Speed(RPM),Torque(Nm)
446,1247.727597,54.52677416
446.5,1336.850997,54.59235298
447,1425.974396,54.66245448
447.5,1515.097796,54.73707866
448,1604.221196,54.81622551
448.5,1693.344596,54.89989504
449,1782.467995,54.98808725
449.5,1871.591395,55.08080214
450,1960.714795,55.1780397
450.5,2049.838195,55.27979995
451,2138.961595,55.38608286
451.5,2138.961595,8.627800568
452,2138.961595,8.627800568
452.5,2138.961595,8.627800568
453,2138.961595,8.627800568
453.5,2138.961595,8.627800568
454,2138.961595,8.627800568
454.5,2138.961595,8.627800568
455,2138.961595,8.627800568
455.5,2138.961595,8.627800568
456,2138.961595,8.627800568
456.5,2138.961595,8.627800568
457,2138.961595,8.627800568
457.5,2138.961595,8.627800568
458,2138.961595,8.627800568
458.5,2138.961595,8.627800568
459,2138.961595,8.627800568
459.5,2138.961595,8.627800568
460,2138.961595,8.627800568
460.5,2138.961595,8.627800568
461,2138.961595,8.627800568
461.5,2138.961595,8.627800568
462,2138.961595,8.627800568
462.5,2138.961595,8.627800568
463,2138.961595,8.627800568
463.5,2138.961595,8.627800568
464,2138.961595,8.627800568
464.5,2138.961595,8.627800568
465,2138.961595,8.627800568
465.5,2138.961595,8.627800568
466,2138.961595,8.627800568
466.5,2138.961595,8.627800568
467,2138.961595,8.627800568
467.5,2138.961595,8.627800568
468,2138.961595,8.627800568
468.5,2138.961595,8.627800568
469,2138.961595,8.627800568
469.5,2138.961595,8.627800568
470,2138.961595,8.627800568
470.5,2138.961595,8.627800568
471,2138.961595,8.627800568
471.5,2138.961595,8.627800568
472,2138.961595,8.627800568
472.5,2138.961595,8.627800568
473,2138.961595,8.627800568
473.5,2138.961595,8.627800568
474,2138.961595,8.627800568
474.5,2138.961595,8.627800568
475,2138.961595,8.627800568
475.5,2041.736068,-42.4969554
476,1944.51054,-42.60729378
476.5,1847.285013,-42.7122498
477,1750.059486,-42.81182345
477.5,1652.833959,-42.90601475
478,1555.608432,-42.99482369
478.5,1458.382905,-43.07825027
479,1361.157378,-43.15629449
479.5,1263.931851,-43.22895634
480,1166.706324,-43.29623584
480.5,1069.480797,-43.35813298
481,972.2552702,-43.41464776
481.5,875.0297432,-43.46578018
482,777.8042162,-43.51153024
482.5,680.5786892,-43.55189794
483,583.3531621,-43.58688328
483.5,486.1276351,-43.61648626
484,388.9021081,-43.64070687
484.5,291.6765811,-43.65954513
485,194.451054,-43.67300103
485.5,97.22552702,-43.68107457
486,0,0
486.5,0,0
487,0,0
487.5,0,0
488,0,0
488.5,0,0
489,0,0
489.5,0,0
490,0,0
490.5,0,0
491,0,0
491.5,0,0
492,0,0
492.5,0,0
493,0,0
493.5,0,0
494,0,0
494.5,0,0
495,0,0
495.5,0,0
496,0,0
496.5,0,0
497,0,0
497.5,0,0
498,0,0
498.5,0,0
499,0,0
499.5,0,0
500,0,0
500.5,0,0
501,0,0
501.5,0,0
502,0,0
502.5,0,0
503,0,0
503.5,0,0
504,0,0
504.5,0,0
505,0,0
505.5,0,0
506,0,0
506.5,0,0
507,0,0
507.5,208.8829682,116.9274155
508,417.7659364,116.9646812
508.5,626.6489047,117.0267908
509,835.5318729,117.1137441
509.5,1044.414841,117.2255412
510,1253.297809,117.3621822
510.5,1462.180778,117.5236669
511,1671.063746,117.7099955
511.5,1879.946714,117.9211679
512,2088.829682,118.1571841
512.5,2297.71265,118.4180441
513,2506.595619,118.7037479
513.5,2715.478587,119.0142955
514,2924.361555,119.3496869
514.5,3133.244523,119.7099221
515,3342.127491,120.0950012
515.5,3342.127491,10.50527702
516,3342.127491,10.50527702
516.5,3342.127491,10.50527702
517,3342.127491,10.50527702
517.5,3342.127491,10.50527702
518,3342.127491,10.50527702
518.5,3342.127491,10.50527702
519,3342.127491,10.50527702
519.5,3342.127491,10.50527702
520,3342.127491,10.50527702
520.5,3342.127491,10.50527702
521,3342.127491,10.50527702
521.5,3342.127491,10.50527702
522,3342.127491,10.50527702
522.5,3342.127491,10.50527702
523,3342.127491,10.50527702
523.5,3342.127491,10.50527702
524,3342.127491,10.50527702
524.5,3342.127491,10.50527702
525,3342.127491,10.50527702
525.5,3342.127491,10.50527702
526,3342.127491,10.50527702
526.5,3342.127491,10.50527702
527,3342.127491,10.50527702
527.5,3342.127491,10.50527702
528,3342.127491,10.50527702
528.5,3342.127491,10.50527702
529,3342.127491,10.50527702
529.5,3342.127491,10.50527702
530,3342.127491,10.50527702
530.5,3342.127491,10.50527702
531,3342.127491,10.50527702
531.5,3342.127491,10.50527702
532,3342.127491,10.50527702
532.5,3342.127491,10.50527702
533,3342.127491,10.50527702
533.5,3342.127491,10.50527702
534,3342.127491,10.50527702
534.5,3342.127491,10.50527702
535,3342.127491,10.50527702
535.5,3342.127491,10.50527702
536,3342.127491,10.50527702
536.5,3342.127491,10.50527702
537,3342.127491,10.50527702
537.5,3342.127491,10.50527702
538,3342.127491,10.50527702
538.5,3342.127491,10.50527702
539,3342.127491,10.50527702
539.5,3342.127491,10.50527702
540,3342.127491,10.50527702
540.5,3342.127491,10.50527702
541,3342.127491,10.50527702
541.5,3342.127491,10.50527702
542,3342.127491,10.50527702
542.5,3342.127491,10.50527702
543,3342.127491,10.50527702
543.5,3342.127491,10.50527702
544,3342.127491,10.50527702
544.5,3342.127491,10.50527702
545,3342.127491,10.50527702
545.5,3279.462601,-22.48977253
546,3216.797711,-22.6056689
546.5,3154.13282,-22.71932932
547,3091.46793,-22.83075381
547.5,3028.803039,-22.93994235
548,2966.138149,-23.04689494
548.5,2903.473258,-23.1516116
549,2840.808368,-23.25409231
549.5,2778.143477,-23.35433708
550,2715.478587,-23.45234591
550.5,2652.813696,-23.54811879
551,2590.148806,-23.64165573
551.5,2527.483915,-23.73295673
552,2464.819025,-23.82202178
552.5,2402.154135,-23.9088509
